CORTA VENTO;R$ 115,00;R$ 102,50;R$ 98,33;R$ 96,25;R$ 92,50;R$ 91,67;R$ 91,07;R$ 90,63;R$ 90,28;R$ 87,50;R$ 61,57;R$ 61,15;R$ 60,90;R$ 60,86;R$ 60,40;;;
OVERSIZED CAMISETA ALGODÃO;R$ 88,00;R$ 63,50;R$ 55,33;R$ 51,25;R$ 46,30;R$ 44,67;R$ 43,50;R$ 42,63;R$ 41,94;R$ 38,90;R$ 37,27;R$ 36,45;R$ 35,96;R$ 35,88;R$ 34,98;;;
JAQUETA BOBOJACO;R$ 181,00;R$ 161,00;R$ 154,33;R$ 151,00;R$ 149,00;R$ 147,67;R$ 176,71;R$ 146,00;R$ 145,44;R$ 135,00;R$ 133,67;R$ 133,00;R$ 132,60;R$ 132,54;R$ 131,80;;;
;15;15;15;15;12,5;12,5;12,5;12,5;12,5;10;10;10;10;10;10;;;
;R$ 15,00;R$ 15,00;R$ 15,00;R$ 15,00;R$ 12,50;R$ 12,50;R$ 12,50;R$ 12,50;R$ 12,50;;;;;;;;;
;30;30;30;30;20;20;20;20;20;20;20;20;20;20;20;;;
VALOR M2 DTF;;;;;;;;;;;;;;;;;;
R$ 161,00;;;;;;;;;;;;;;;;;;
VALOR FRETE DTF;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
VALOR PRENSA;;;;;;;;;;;;;;;;;;
R$ 7,00;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
PEQUENA (10X10);R$ 1,80;;;;;;;;;;;;;;;;;
MÉDIA (27 LARGURA X 15 ALTURA);R$ 6,75;;;;;;;;;;;;;;;;;
GRANDE (25 LARGURA x 27 ALTURA);R$ 11,25;;;;;;;;;;;;;;;;;
EXTRA GRANDE (35 X 55);R$ 31,50;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;INFOS;;;;;;;;;;;;;;;;;
;ESTAMPA;CUSTO EST;MATERIAL;QUANTIDADE;CUSTO PEÇA;VALOR FINAL;;QUANTIDADE;VALOR FINAL COM TAXA DE MAQUINA;;;;;;;;;
ESTAMPA 1;GRANDE (25 LARGURA x 27 ALTURA);R$ 11,25;CAMISETA ALGODÃO;3;R$ 71,85;R$ 99,35;;3;R$ 106,30;;;;;;;;;
ESTAMPA 2;GRANDE (25 LARGURA x 27 ALTURA);R$ 11,25;;6;R$ 59,35;R$ 86,85;;6;R$ 92,93;;;;;;;;;
ESTAMPA 3;NENHUMA;#N/D;;10;R$ 39,15;R$ 66,65;;10;R$ 71,32;;;;;;;;;
ESTAMPA 4;NENHUMA;#N/D;;50;R$ 31,19;R$ 58,69;;50;R$ 62,80;;;;;;;;;
TAXA DE PRENSAGEM;5;;;;;;;;;;;;;;;;;
VALOR UNITÁRIO;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
